time;VM;P11;P22;S
20.7;253.795642867;289.3797077;136.620798136;253.795642867
20.8;111.621678612;123.204342997;57.8057800405;111.621678612
20.9;49.1685543283;18.2912406064;-36.0805833315;-49.1685543283
21.0;94.1630525823;-18.3858207306;-101.693906087;-94.1630525823
21.1;84.2688740719;-12.5279023125;-89.5196605785;-84.2688740719
21.2;46.8819213282;35.386786607;-9.59028894969;46.8819213282
21.3;134.744662164;150.54759285;71.7081128793;134.744662164
21.4;258.511590235;294.842450769;139.053281831;258.511590235
21.5;368.469656925;421.865252717;194.640050981;368.469656925
21.6;445.558001796;510.682988652;232.702337168;445.558001796
21.7;477.460119876;547.344504619;249.220949983;477.460119876
21.8;454.049580375;520.275221988;238.994211621;454.049580375
21.9;373.911265224;427.881280333;199.160132031;373.911265224
22.0;254.029908116;289.667795885;136.688028062;254.029908116
22.1;130.295646401;146.058998983;69.0838764784;130.295646401
22.2;50.576984427;47.9580473027;6.41720253701;50.576984427
22.3;51.9810749461;17.0146625801;-40.3067566586;-51.9810749461
22.4;52.9272987249;20.8460098432;-37.6987583052;-52.9272987249
22.5;56.2054410351;54.5707267538;9.95847052;56.2054410351
22.6;131.03779272;147.444977171;69.3426981364;131.03779272
22.7;254.652821727;291.003160292;134.563149241;254.652821727
22.8;385.590034327;441.623562688;202.95376224;385.590034327
22.9;478.144652315;547.902559647;252.19389384;478.144652315
23.0;494.529986286;566.664421561;261.417576607;494.529986286
23.1;425.878026195;487.723169213;225.791982309;425.878026195
23.2;297.151418122;339.574664256;158.695020419;297.151418122
23.3;154.024696597;173.901436336;82.4806624937;154.024696597
23.4;52.0633004939;49.0558972175;6.16454541467;52.0633004939
23.5;71.8813629512;1.3714574028;-70.842690084;-71.8813629512
23.6;96.1848398064;-11.6778534796;-101.146850922;-96.1848398064
23.7;78.911740849;-1.32817563698;-79.2249481115;-78.911740849
23.8;46.7633897362;35.7164533741;-8.87065461654;46.7633897362
23.9;124.483561673;139.501380495;65.6885415047;124.483561673
24.0;253.402224149;289.219605785;135.420324554;253.402224149
24.1;373.388877327;427.341739816;198.49546026;373.388877327
24.2;447.685749709;512.874616;236.486638239;447.685749709
24.3;463.005055662;530.682934781;242.367356759;463.005055662
24.4;431.223689068;494.283448005;224.295540592;431.223689068
24.5;373.230504194;427.559591408;195.131163195;373.230504194
24.6;302.066902683;345.342339986;160.734749719;302.066902683
24.7;222.2814759;252.748522624;120.29426296;222.2814759
24.8;142.150071388;159.202414715;76.0292451695;142.150071388
24.9;81.1137481855;87.0297440611;37.2403477009;81.1137481855
25.0;57.8605548715;58.77119627;15.8402515977;57.8605548715
